participant_id,valid,block,item_number,type,delay_time,condition,difficulty,fixation_cross_key_response,fixation_cross_reaction_time_ms,response_key_response,response_reaction_time_ms,ISI_key_response,ISI_reaction_time_ms,error_type,reaction_time_ms
motor-repeated,False,practice1,1,actual,1093,motor,1093,v,430,v,134,v,178,premature_error,134
motor-repeated,False,practice1,2,actual,1158,motor,1158,,,v,465,,,,465
motor-repeated,False,practice1,3,actual,846,motor,846,v,315,v,154,,,premature_error,154
motor-repeated,False,practice1,4,actual,967,motor,967,,,v,465,v,113,delay_error,465
motor-repeated,False,practice1,5,actual,950,motor,950,,,v,335,,,,335
motor-repeated,False,practice1,6,catch,1064,motor,1064,,,,,,,,
motor-repeated,False,practice1,7,actual,1073,motor,1073,,,v,296,,,,296
motor-repeated,False,practice1,8,actual,870,motor,870,,,v,286,,,,286
motor-repeated,False,practice1,9,actual,1063,motor,1063,,,v,297,,,,297
motor-repeated,False,practice1,10,actual,1098,motor,1098,,,v,291,,,,291
motor-repeated,False,practice2,11,actual,802,motor,802,,,v,417,,,,417
motor-repeated,False,practice2,12,actual,892,motor,892,,,v,284,,,,284
motor-repeated,False,practice2,13,actual,836,motor,836,,,v,282,,,,282
motor-repeated,False,practice2,14,catch,849,motor,849,,,,,v,278,catch_delay_error,
motor-repeated,False,practice2,15,actual,869,motor,869,,,v,676,,,,676
motor-repeated,False,practice2,16,actual,1199,motor,1199,,,v,331,,,,331
motor-repeated,False,practice2,17,actual,1070,motor,1070,,,v,290,,,,290
motor-repeated,False,practice2,18,actual,841,motor,841,,,v,348,,,,348
motor-repeated,False,practice2,19,actual,1197,motor,1197,,,v,302,,,,302
motor-repeated,False,practice2,20,actual,1045,motor,1045,,,v,334,,,,334
motor-repeated,False,practice3,21,actual,1149,motor,1149,v,320,v,151,v,138,premature_error,151
motor-repeated,False,practice3,22,actual,870,motor,870,,,v,225,v,131,delay_error,225
motor-repeated,False,practice3,23,actual,980,motor,980,v,569,v,130,,,premature_error,130
motor-repeated,False,practice3,24,actual,1199,motor,1199,v,1086,v,547,v,170,premature_error,547
motor-repeated,False,practice3,25,actual,940,motor,940,,,v,220,,,,220
motor-repeated,False,practice3,26,actual,843,motor,843,,,v,251,,,,251
motor-repeated,False,practice3,27,catch,1006,motor,1006,,,,,,,,
motor-repeated,False,practice3,28,actual,1065,motor,1065,,,v,285,,,,285
motor-repeated,False,practice3,29,actual,881,motor,881,,,v,284,,,,284
motor-repeated,False,practice3,30,actual,999,motor,999,,,v,267,,,,267
