participant_id,valid,block,item_number,type,delay_time,condition,difficulty,color,key_correct,fixation_cross_key_response,fixation_cross_reaction_time_ms,response_key_response,response_reaction_time_ms,ISI_key_response,ISI_reaction_time_ms,correct,error_type,reaction_time_ms
sensorimotor_no_repeat,True,practice1,1,actual,1111,sensorimotor,1111,blue,m,,,m,385,,,True,,385
sensorimotor_no_repeat,True,practice1,2,actual,1061,sensorimotor,1061,blue,m,,,m,594,,,True,,594
sensorimotor_no_repeat,True,practice1,3,actual,809,sensorimotor,809,red,v,,,v,387,,,True,,387
sensorimotor_no_repeat,True,practice1,4,actual,927,sensorimotor,927,red,v,,,v,345,,,True,,345
sensorimotor_no_repeat,True,practice1,5,actual,812,sensorimotor,812,blue,m,,,m,404,,,True,,404
sensorimotor_no_repeat,True,practice1,6,actual,1041,sensorimotor,1041,blue,m,,,m,819,,,True,,819
sensorimotor_no_repeat,True,practice1,7,actual,1140,sensorimotor,1140,blue,m,,,m,617,,,True,,617
sensorimotor_no_repeat,True,practice1,8,actual,1144,sensorimotor,1144,blue,m,,,m,543,,,True,,543
sensorimotor_no_repeat,True,practice1,9,actual,933,sensorimotor,933,red,v,,,v,656,,,True,,656
sensorimotor_no_repeat,True,practice1,10,actual,806,sensorimotor,806,blue,m,,,m,1083,,,True,,1083
sensorimotor_no_repeat,True,practice1,11,actual,1037,sensorimotor,1037,blue,m,,,m,612,,,True,,612
sensorimotor_no_repeat,True,practice1,12,actual,838,sensorimotor,838,blue,m,,,m,513,,,True,,513
sensorimotor_no_repeat,True,practice1,13,actual,1049,sensorimotor,1049,red,v,,,v,517,,,True,,517
sensorimotor_no_repeat,True,practice1,14,catch,1025,sensorimotor,1025,,,,,,,,,,,
sensorimotor_no_repeat,True,practice1,15,actual,1131,sensorimotor,1131,red,v,,,v,729,,,True,,729
sensorimotor_no_repeat,True,practice1,16,actual,1107,sensorimotor,1107,red,v,,,v,605,,,True,,605
sensorimotor_no_repeat,True,practice1,17,actual,1049,sensorimotor,1049,red,v,,,v,999,,,True,,999
sensorimotor_no_repeat,True,practice1,18,actual,911,sensorimotor,911,red,v,,,v,566,,,True,,566
sensorimotor_no_repeat,True,practice1,19,catch,1145,sensorimotor,1145,,,,,,,,,,,
sensorimotor_no_repeat,True,practice1,20,actual,964,sensorimotor,964,red,v,,,v,641,,,True,,641
