participant_id,version,mode,item_number,block,object_id,rotation_angle,different,condition,difficulty,stimuli_path,key_correct,key_response,correct,reaction_time_ms,start_time,end_time,break_duration_ms
sol,1,demo,1,practice,33,50,True,different,50,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/demo_images/2.jpg,j,j,1,2956,2025-07-27 20:13:58,2025-07-27 20:14:10,0
sol,1,demo,3,practice,26,150,True,different,150,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/demo_images/5.jpg,j,f,0,1870,2025-07-27 20:13:58,2025-07-27 20:14:13,0
sol,1,demo,5,practice,46,150,False,same,150,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/demo_images/4.jpg,f,j,0,923,2025-07-27 20:13:58,2025-07-27 20:14:16,0
sol,1,demo,7,practice,32,50,True,different,50,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/demo_images/1.jpg,j,f,0,824,2025-07-27 20:13:58,2025-07-27 20:14:19,0
sol,1,demo,9,practice,4,100,True,different,100,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/demo_images/3.jpg,j,j,1,4463,2025-07-27 20:13:58,2025-07-27 20:14:25,0
sol,2,demo,1,practice,33,50,True,different,50,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/demo_images/2.jpg,f,j,0,3363,2025-07-27 20:14:43,2025-07-27 20:14:54,0
sol,2,demo,3,practice,26,150,True,different,150,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/demo_images/5.jpg,f,j,0,534,2025-07-27 20:14:43,2025-07-27 20:14:56,0
sol,2,demo,5,practice,32,50,True,different,50,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/demo_images/1.jpg,f,f,1,47,2025-07-27 20:14:43,2025-07-27 20:14:58,0
sol,2,demo,7,practice,4,100,True,different,100,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/demo_images/3.jpg,f,j,0,24,2025-07-27 20:14:43,2025-07-27 20:15:00,0
sol,2,demo,9,practice,46,150,False,same,150,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/demo_images/4.jpg,j,f,0,662,2025-07-27 20:14:43,2025-07-27 20:15:02,0
sol,2,demo,6,block1,18,100,False,same,100,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/short_test1_images/5.jpg,j,j,1,519,2025-07-27 20:14:43,2025-07-27 20:15:06,0
sol,2,demo,8,block1,4,150,True,different,150,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/short_test1_images/10.jpg,f,j,0,10,2025-07-27 20:14:43,2025-07-27 20:15:07,0
sol,2,demo,10,block1,8,0,False,same,0,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/short_test1_images/4.jpg,j,,0,7500,2025-07-27 20:14:43,2025-07-27 20:15:15,0
